ID,type,time,data
1,u,1578694549.294637,-0.009826
2,v,1578694549.294637,-1.173239
3,w,1578694549.294637,-10.038255
4,p,1578694549.294637,0.001194
5,q,1578694549.294637,-0.041232
6,r,1578694549.294637,0.033027
7,phi,1578694549.298472,0.029621
8,theta,1578694549.298472,0.006047
9,psi,1578694549.298472,-1.965094
10,servo0,1578694549.298573,0.000000
11,servo1,1578694549.298573,0.000000
12,servo2,1578694549.298573,0.000000
13,servo3,1578694549.298573,0.000000
14,servo4,1578694549.298573,0.000000
15,servo5,1578694549.298573,0.000000
16,u,1578694549.304402,0.101968
17,v,1578694549.304402,-0.938211
18,w,1578694549.304402,-9.790072
19,p,1578694549.304402,0.022203
20,q,1578694549.304402,-0.033488
21,r,1578694549.304402,0.022012
22,phi,1578694549.308855,0.030296
23,theta,1578694549.308855,0.005605
24,psi,1578694549.308855,-1.964868
25,servo0,1578694549.309023,0.000000
26,servo1,1578694549.309023,0.000000
27,servo2,1578694549.309023,0.000000
28,servo3,1578694549.309023,0.000000
29,servo4,1578694549.309023,0.000000
30,servo5,1578694549.309023,0.000000
31,u,1578694549.314481,0.366220
32,v,1578694549.314481,-0.350373
33,w,1578694549.314481,-10.564934
34,p,1578694549.314481,0.067800
35,q,1578694549.314481,-0.033063
36,r,1578694549.314481,0.019438
37,phi,1578694549.318714,0.031212
38,theta,1578694549.318714,0.005375
39,psi,1578694549.318714,-1.964852
40,servo0,1578694549.318861,0.000000
41,servo1,1578694549.318861,0.000000
42,servo2,1578694549.318861,0.000000
43,servo3,1578694549.318861,0.000000
44,servo4,1578694549.318861,0.000000
45,servo5,1578694549.318861,0.000000
46,u,1578694549.324521,0.411910
47,v,1578694549.324521,0.060018
48,w,1578694549.324521,-9.397799
49,p,1578694549.324521,0.091923
50,q,1578694549.324521,-0.015681
